id;google_id;json_volume;previewlink;title;author_id;author_name;publisher;publisherdate;description;categories;pages;rating;language;image
69;5mtwPQAACAAJ;https://www.googleapis.com/books/v1/volumes/5mtwPQAACAAJ;http://books.google.com/books?id=5mtwPQAACAAJ&dq=Dan+Brown&hl=&cd=34&source=gbs_api;The Guide to Dan Brown's The Solomon Key;42;Greg Taylor;Devorss Publications;2005;The massive success of Dan Brown's The Da Vinci Code has readers eagerly awaiting his next novel, The Solomon Key. Using clues left by Brown in interviews, on his website, and on the cover of The Da Vinci Code, Greg Taylor takes you on an unprecedented tour of the new book before it is even released. The Guide to Dan Brown's The Solomon Key explores the topics likely to be included in Brown's next novel - including the hidden history of Washington, D.C., Freemasonry, and even the Ku Klux Klan - to give you a better understanding of the concepts behind the book. With no spoilers, this is the essential primer for The Solomon Key. Book jacket.;"{Body,""Mind & Spirit""}";183;;en;http://books.google.com/books/content?id=5mtwPQAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
70;3vxqLwEACAAJ;https://www.googleapis.com/books/v1/volumes/3vxqLwEACAAJ;http://books.google.com/books?id=3vxqLwEACAAJ&dq=Dan+Brown&hl=&cd=35&source=gbs_api;Bath Then and Now;28;Dan Brown;History PressLtd;2013-03-01;Bath is one of the most beautiful cities in England. Sleepy Georgian squares, flanked by long colonnades and dotted with green spaces, give the visitor or resident the feeling that nothing much has changed since Jane Austen herself walked the streets. This book, packed with full-color photography by professional photographer Dan Brown and containing rare archive views from the enormous Bath in Time collection, seeks to discover how much has really changed in the heart of the city. Some of these scenes will be familiar, but many more will surprise and delight the reader.;{History};96;;en;http://books.google.com/books/content?id=3vxqLwEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
71;NTj1AgAAQBAJ;https://www.googleapis.com/books/v1/volumes/NTj1AgAAQBAJ;http://books.google.com/books?id=NTj1AgAAQBAJ&pg=PA48&dq=Dan+Brown&hl=&cd=36&source=gbs_api;Secrets of Inferno;43;Dan Burstein;Story Plant, The;2013-09-24;SECRETS OF INFERNO is a reader's guide to the journey Dan Brown took us all on in INFERNO. The book gives readers the “back story” on particular plot points, Dante references, symbols, historical events, philosophy, art, music, and architectural works that Brown wrapped into his story. It is also an intellectually enriching, intriguing, fresh and fun look at Dante, THE DIVINE COMEDY, the world of ideas circulating in Florence on the cusp of the Renaissance, and the relevance of those ideas to our lives and our world today. Dan Burstein and Arne de Keijzer are the world's leading experts on Dan Brown's fiction. Beginning with their path-breaking SECRETS OF THE CODE, which spent six months on the New York Times bestseller list in 2004, and continuing through four other guidebooks to Dan Brown's fiction (as well as three film documentaries and two special editions of US News), Burstein and de Keijzer have sold more than three million copies of Dan Brown-related commentaries in more than thirty languages. In the wake of each Dan Brown title over the last decade, the media (from the History Channel to CNN to MSNBC to USA Today to the Washington Post) have turned to Burstein and de Keijzer for interpretations of Dan Brown's books, decoding of the hidden symbols and ciphers, explanations of the controversies, and thoughtful separation of fact from fiction in these supremely popular stories that somehow always manage to fascinate our culture well beyond the bounds of their pop fiction genre. The ultimate guide for any Dan Brown fan, SECRETS OF INFERNO is entertaining, thought-provoking, and will make the experience of reading INFERNO richer than you ever imagined. Contributors include: Teodolinda Barolini, Da Ponte Professor of Italian, Columbia University Steven Botterill, Associate Professor of Italian Studies, University of California, Berkeley Jamais Cascio, Distinguished Fellow, Institute for the Future and Senior Fellow, Institute for Ethics and Emerging Technologies Joel E. Cohen, Abby Rockefeller Mauzé Professor of Populations at The Rockefeller University and Professor of Populations at the Earth Institute of Columbia University William Cook, Distinguished Teaching Professor of History (Emeritus), State University of New York, Geneseo Alison Cornish, Professor of Italian, Romance Languages, and Literatures department, University of Michigan Paul Ehrlich, Bing Professor of Population Studies, Stanford University, president of Stanford’s Center for Conservation Biology, and author of The Population Bomb Glenn W. Erickson, Professor of Philosophy, Universidade Federal do Rio Grande do Norte (Brazil) Laurie Garrett, Senior Fellow for Global Health, Council on Foreign Relations and author of The Coming Plague Cheryl Helm, Dan Brown codes and puzzles expert Giuseppe Mazzotta, Sterling Professor of Humanities for Italian, Yale University Julie O’Connor, Fine art photographer and photojournalist David Orban, Futurist, CEO of Dotsub, and former chairman of Humanity+ David A. Shugarts, Investigative reporter, author of Secrets of the Widow’s Son, and contributing editor to the Secrets series Gregory Stock, Biophysicist, biotech entrepreneur, and founding director of the Program on Medicine, Technology and Society at UCLA’s School of Medicine Natasha Vita-More, Chairman, Board of Directors of Humanity+ and author of the “Transhumanist Manifesto”;"{""Literary Criticism""}";192;4;en;http://books.google.com/books/content?id=NTj1AgAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
72;NAuQfVNPLVkC;https://www.googleapis.com/books/v1/volumes/NAuQfVNPLVkC;http://books.google.com/books?id=NAuQfVNPLVkC&pg=PA291&dq=Dan+Brown&hl=&cd=37&source=gbs_api;Die Wissenschaft bei Dan Brown;44;Joachim Körber;John Wiley & Sons;2009;"Geheime Zirkel, die Vermischung von Religion und Kunst, verschlüsselte Botschaften, geheimnisvolle Pyramiden, der Orden der Templer, das Opus Dei und mysteriöse Antimaterie - Dan Browns Romane verwandeln die Welt häufig in einen düsteren Ort voller Rätsel, Verschwörung und dunkler Theorien. Doch was ist dran an den Schreckensszenarien um Kirche, Staat und Politik? Waren Jesus und Maria Magdalena tatsächlich ein Paar? Was verbirgt sich hinter den Gemälden Leonardo da Vincis? Und was findet sich unter der Pyramide des Louvre? Das Gesamtwerk Dan Browns bleibt die Antwort schuldig und überlässt es häufig der Einschätzung seiner Leser zwischen Dichtung und Wahrheit zu unterscheiden. ""Die Wissenschaft bei Dan Brown"" schafft Abhilfe und spürt diesen Fragen nach. Dabei beschäftigt sich der Autor Joachim Körber nicht nur mit den einzelnen Büchern Dan Browns, sondern begibt sich in den verschiedenen Wissenschaftsdisziplinen auf Spurensuche. Er reist zu den Quellen der Romane und löst in der Verbindung von Geschichte, Literatur, Theologie und Naturwissenschaften die Rätsel um allerhand mysteriöse Mächte.";{};306;;de;http://books.google.com/books/content?id=NAuQfVNPLVkC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
73;6dlFc4iwbuIC;https://www.googleapis.com/books/v1/volumes/6dlFc4iwbuIC;http://books.google.com/books?id=6dlFc4iwbuIC&printsec=frontcover&dq=Dan+Brown&hl=&cd=38&source=gbs_api;Communicating Design;45;Dan M. Brown;New Riders;2010-09-15;Successful web design teams depend on clear communication between developers and their clients—and among members of the development team. Wireframes, site maps, flow charts, and other design diagrams establish a common language so designers and project teams can capture ideas, track progress, and keep their stakeholders informed. In this all new edition of Communicating Design, author and information architect Dan Brown defines and describes each deliverable, then offers practical advice for creating the documents and using them in the context of teamwork and presentations, independent of methodology. Whatever processes, tools, or approaches you use, this book will help you improve the creation and presentation of your wireframes, site maps, flow charts, and other deliverables. The book now features: An improved structure comprising two main sections: Design Diagrams and Design Deliverables. The first focuses on the nuts and bolts of design documentation and the second explains how to pull it all together. New deliverable: design briefs, as well as updated advice on wireframes, flow charts, and concept models. More illustrations, to help designers understand the subtle variations and approaches to creating design diagrams. Reader exercises, for those lonely nights when all you really want to do is practice creating wireframes, or for use in workshops and classes. Contributions from industry leaders: Tamara Adlin, Stephen Anderson, Dana Chisnell, Nathan Curtis, Chris Fahey, James Melzer, Steve Mulder, Donna Spencer, and Russ Unger. “As an educator, I have looked to Communicating Design both as a formal textbook and an informal guide for its design systems that ultimately make our ideas possible and the complex clear.” —Liz Danzico, from the Foreword;{Computers};456;;en;http://books.google.com/books/content?id=6dlFc4iwbuIC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
74;Yn2TTwgPHCcC;https://www.googleapis.com/books/v1/volumes/Yn2TTwgPHCcC;http://books.google.com/books?id=Yn2TTwgPHCcC&dq=Dan+Brown&hl=&cd=39&source=gbs_api;Dan Brown: The Unauthorized Biography;46;Lisa Rogak;Macmillan;2013-05-07;"Traces the life and career of the popular author, from his childhood through his early years of struggle as a writer, and discusses the legal issues that followed the success of ""The Da Vinci Code.""";"{""Biography & Autobiography""}";192;;en;http://books.google.com/books/content?id=Yn2TTwgPHCcC&printsec=frontcover&img=1&zoom=1&source=gbs_api
75;70iXSQAACAAJ;https://www.googleapis.com/books/v1/volumes/70iXSQAACAAJ;http://books.google.com/books?id=70iXSQAACAAJ&dq=Dan+Brown&hl=&cd=40&source=gbs_api;Phillips Exeter Academy Faculty;47;Books Llc;Books LLC, Wiki Series;2010-05;"Please note that the content of this book primarily consists of articles available from Wikipedia or other free sources online. Pages: 23. Chapters: Frederick Buechner, Dan Brown, Michael S. Greco, T. A. Dwight Jones, Winthrop Jordan, Francis Bowen, George Lyman Kittredge, Jeffrey Harrison, Joseph Gibson Hoyt, Alexander Hill Everett, Michael Golay, Gwynneth Coogan, Donald B. Cole, Benjamin Abbot, Richard G. Brown, Ebenezer Adams, H. Hamilton ""Hammy"" Bissell, Thomas Hassan, David P. Robbins, Stephen G. Kurtz. Excerpt: (Carl) Frederick Buechner is an American writer and theologian. Born July 11, 1926 in New York City, he is an ordained Presbyterian minister and the author of more than thirty published books thus far. His work encompasses different genres, including fiction, autobiography, essays and sermons, and his career has spanned six decades. Buechner's books have been translated into many languages for publication around the world. He is best known for his works A Long Day's Dying (his first work, published in 1950); The Book of Bebb, a tetralogy based on the character Leo Bebb published in 1977; Godric, a first person narrative of the life of the medieval saint, and a finalist for the Pulitzer Prize in 1981; Brendan, a second novel narrating a saint's life, published in 1987; Listening to Your Life: Daily Meditations with Frederick Buechner (1992); and his autobiographical works The Sacred Journey (1982), Now and Then (1983), Telling Secrets (1991), and The Eyes of the Heart: Memoirs of the Lost and Found (1999). He has been called ""Major talent"" and .."".a very good writer indeed"" by the New York Times, and ""one of our most original storytellers"" by USA Today. Annie Dillard (Pulitzer Prize-winning author of Pilgrim at Tinker Creek) says: ""Frederick Buechner is one of our finest writers."" Buechner's work has often been praised for its ability to inspire readers to see the grace in their daily lives. As stated in the London Free Press, ""He is one of our great n...";{};88;;en;
86;d5xgYw4Ts0gC;https://www.googleapis.com/books/v1/volumes/d5xgYw4Ts0gC;http://books.google.com/books?id=d5xgYw4Ts0gC&dq=Angels+and+Demons&hl=&cd=11&source=gbs_api;Angels And Demons;28;Dan Brown;Random House;2009-05-14;Contains a sneak preview of Inferno, Dan Brown’s astonishing new Robert Langdon thriller. CERN Institute, Switzerland: a world-renowned scientist is found brutally murdered with a mysterious symbol seared onto his chest. The Vatican, Rome: the College of Cardinals assembles to elect a new pope. Somewhere beneath them, an unstoppable bomb of terrifying power relentlessly counts down to oblivion. In a breathtaking race against time, Harvard professor Robert Langdon must decipher a labyrinthine trail of ancient symbols if he is to defeat those responsible - the Illuminati, a secret brotherhood presumed extinct for nearly four hundred years, reborn to continue their deadly vendetta against their most hated enemy, the Catholic Church.;{Fiction};624;4.5;en;http://books.google.com/books/content?id=d5xgYw4Ts0gC&printsec=frontcover&img=1&zoom=1&source=gbs_api
36;N_2gqkJhnX0C;https://www.googleapis.com/books/v1/volumes/N_2gqkJhnX0C;http://books.google.com/books?id=N_2gqkJhnX0C&printsec=frontcover&dq=Dan+Brown&hl=&cd=1&source=gbs_api;Angels & Demons;28;Dan Brown;Simon and Schuster;2006;"World-renowned Harvard symbologist Robert Langdon is summoned to a Swiss research facility to analyze a cryptic symbol seared into the chest of a murdered physicist. What he discovers is unimaginable; a deadly vendetta against the Catholic Church by a cen";{Anti-Catholicism};572;4;en;http://books.google.com/books/content?id=N_2gqkJhnX0C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
37;SeIalgEACAAJ;https://www.googleapis.com/books/v1/volumes/SeIalgEACAAJ;http://books.google.com/books?id=SeIalgEACAAJ&dq=Dan+Brown&hl=&cd=2&source=gbs_api;Inferno;28;Dan Brown;Random House Large Print;2013;In the heart of Italy, Harvard professor of symbology, Robert Langdon, is drawn into a harrowing world centered on one of history's most enduring and mysterious literary masterpieces … Dante's Inferno. Against this backdrop, Langdon battles a chilling adversary and grapples with an ingenious riddle. By the author of The Da Vinci Code. (general fiction). Simultaneous.;{Fiction};730;4;en;http://books.google.com/books/content?id=SeIalgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
38;nXrxGCVd9UoC;https://www.googleapis.com/books/v1/volumes/nXrxGCVd9UoC;http://books.google.com/books?id=nXrxGCVd9UoC&dq=Dan+Brown&hl=&cd=3&source=gbs_api;Angels and Demons;28;Dan Brown;Random House;2013-03-25;CERN Institute, Switzerland: a world-renowned scientist is found brutally murdered with a mysterious symbol seared onto his chest. The Vatican, Rome: the College of Cardinals assembles to elect a new pope. Somewhere beneath them, an unstoppable bomb of terrifying power relentlessly counts down to oblivion. In a breathtaking race against time, Harvard professor Robert Langdon must decipher a labyrinthine trail of ancient symbols if he is to defeat those responsible - the Illuminati, a secret brotherhood presumed extinct for nearly four hundred years, reborn to continue their deadly vendetta against their most hated enemy, the Catholic Church.;{Anti-Catholicism};640;3.5;en;http://books.google.com/books/content?id=nXrxGCVd9UoC&printsec=frontcover&img=1&zoom=1&source=gbs_api
39;BjFZ0UQOUCgC;https://www.googleapis.com/books/v1/volumes/BjFZ0UQOUCgC;http://books.google.com/books?id=BjFZ0UQOUCgC&pg=PT213&dq=Dan+Brown&hl=&cd=4&source=gbs_api;Deception Point;28;Dan Brown;Simon and Schuster;2006-03-28;On the eve of a presidential race in which NASA's budget is a pivotal issue, the space agency announces the discovery of an ancient meteorite filled with fossils deep in the Arctic ice.;{Fiction};752;3.5;en;http://books.google.com/books/content?id=BjFZ0UQOUCgC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
40;kqPhohQqARkC;https://www.googleapis.com/books/v1/volumes/kqPhohQqARkC;http://books.google.com/books?id=kqPhohQqARkC&pg=PA11&dq=Dan+Brown&hl=&cd=5&source=gbs_api;The Gospel According to Dan Brown;29;Jeff Dunn;David C Cook;2006;"""Using their knowledge of how stories work, Dunn and Bubeck compare the gospel stories of the Bible to Brown's myths. They show that the two worldwiews are worlds apart.""--Inside jacket cover.";{Religion};237;;en;http://books.google.com/books/content?id=kqPhohQqARkC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
41;ohZ1wcYifLsC;https://www.googleapis.com/books/v1/volumes/ohZ1wcYifLsC;http://books.google.com/books?id=ohZ1wcYifLsC&dq=Dan+Brown&hl=&cd=6&source=gbs_api;The Da Vinci Code;28;Dan Brown;Anchor;2003-03-18;Featuring an excerpt from Dan Brown’s new novel, Inferno, on sale now. #1 Worldwide Bestseller—More Than 81 Million Copies Sold As millions of readers around the globe have already discovered, The Da Vinci Code is a reading experience unlike any other. Simultaneously lightning-paced, intelligent, and intricately layered with remarkable research and detail, Dan Brown's novel is a thrilling masterpiece—from its opening pages to its stunning conclusion.;{Fiction};400;4;en;http://books.google.com/books/content?id=ohZ1wcYifLsC&printsec=frontcover&img=1&zoom=1&source=gbs_api
42;_v1QMucvtUYC;https://www.googleapis.com/books/v1/volumes/_v1QMucvtUYC;http://books.google.com/books?id=_v1QMucvtUYC&pg=PA5&dq=Dan+Brown&hl=&cd=7&source=gbs_api;The Unauthorized Dan Brown Companion;30;John Helfers;Kensington Publishing Corp.;2006-06-01;The definitive truth within Dan Brown's fantastic fiction—revealed at last. With millions of copies of his books in print, a major motion picture based on The Da Vinci Code in theaters, and religious leaders everywhere launching scathing attacks on his work, Dan Brown is, quite simply, a phenomenon. His novels, intricate mosaics combining well-researched facts with action-packed storytelling, have created their own industry of location tours, seminars—even PBS specials. But perhaps the one thing that still keeps his readers guessing is that nagging question: How much of this is true? The Unauthorized Dan Brown Companion tells all. Unlike the avalanche of books specifically about The Da Vinci Code , The Unauthorized Dan Brown Companion covers all of Dan Brown's books and, crucially, has no religious agenda or political axe to grind—these are the facts. • Could there actually be an unbreakable code that would cripple US intelligence, as in Digital Fortress? • How much truth lies in The Da Vinci Code's history-altering propositions that have so angered the Vatican? • Are the Illuminati from Angels and Demons really alive and well? The answers are here, covering every picture, place, proper name, and historical event through all of Brown's books, explaining what's absolutely true, possible, improbable, or completely fictitious. One of Dan Brown's greatest accomplishments as a writer is his uncanny ability to blur the line between fact and fiction. Now, with The Unauthorized Dan Brown Companion, readers will at last have all of the information to distinguish for themselves between the inventions of a master storyteller and the historical revelations of a first-rate investigator. John Helfers is a full-time writer and editor currently living on Green Bay, Wisconsin. He is the co-editor of The Valdemar Companion, a guide to the work and life of fantasy writer Mercedes Lackey. Recent published books include two anthologies he edited, In the Shadow of Evil and Slipstreams. He has also written nonfiction, with his history of the United States Navy, The Alpha Bravo Delta Guide to the U.S. Navy, published in 2003.;{Reference};304;;en;http://books.google.com/books/content?id=_v1QMucvtUYC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
43;7aPqemZwoi4C;https://www.googleapis.com/books/v1/volumes/7aPqemZwoi4C;http://books.google.com/books?id=7aPqemZwoi4C&pg=PA11&dq=Dan+Brown&hl=&cd=8&source=gbs_api;Dan Brown's Road to Success;31;D. M. Brown;Lulu.com;2005;Examines Brown's early years, his journey to the top of the New York Times Bestseller List, and his life as a novelist.;"{""Biography & Autobiography""}";76;2;en;http://books.google.com/books/content?id=7aPqemZwoi4C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
45;IqPW7mqq6GIC;https://www.googleapis.com/books/v1/volumes/IqPW7mqq6GIC;http://books.google.com/books?id=IqPW7mqq6GIC&dq=Dan+Brown&hl=&cd=10&source=gbs_api;Robert Langdon Omnibus;28;Dan Brown;Random House;2005;Thriller. Two books in one.;"{""Suspense fiction""}";844;3;en;http://books.google.com/books/content?id=IqPW7mqq6GIC&printsec=frontcover&img=1&zoom=1&source=gbs_api
46;nyeQSQAACAAJ;https://www.googleapis.com/books/v1/volumes/nyeQSQAACAAJ;http://books.google.com/books?id=nyeQSQAACAAJ&dq=Dan+Brown&hl=&cd=11&source=gbs_api;Novels by Dan Brown;33;Books, LLC;Books LLC, Wiki Series;2010-05;This is nonfiction commentary. Purchase includes a free trial membership in the publisher's book club where you can select from more than a million books without charge. Chapters: The Da Vinci Code, Angels;{};58;;en;
47;GdC710uOCYgC;https://www.googleapis.com/books/v1/volumes/GdC710uOCYgC;http://books.google.com/books?id=GdC710uOCYgC&dq=Dan+Brown&hl=&cd=12&source=gbs_api;Da Vinci Code + 16 Page Inferno Teaser;28;Dan Brown;Random House;2013-03-01;Harvard Professor Robert Langton, visiting Paris, is called in when the curator of the Louvre is murdered. Alongside the body is a series of baffling codes. Langton and a gifted French cryptologist, Sophie Neveu, are amazed to find a trail that leads to the works of Da Vinci - and beyond.;{Cryptographers};608;;en;http://books.google.com/books/content?id=GdC710uOCYgC&printsec=frontcover&img=1&zoom=1&source=gbs_api
336;OZ0IDQEACAAJ;https://www.googleapis.com/books/v1/volumes/OZ0IDQEACAAJ;http://books.google.com/books?id=OZ0IDQEACAAJ&dq=Alexander+Dumas&hl=&cd=24&source=gbs_api;The Poetic Situation in America Since Alexander Dumas and Several Others;209;William Saroyan;;2004;;"{""American drama""}";;;en;
48;cXCxGzF9ghMC;https://www.googleapis.com/books/v1/volumes/cXCxGzF9ghMC;http://books.google.com/books?id=cXCxGzF9ghMC&printsec=frontcover&dq=Dan+Brown&hl=&cd=13&source=gbs_api;Il codice da Vinci;28;Dan Brown;Edizioni Mondadori;2003;Parigi, Museo del Louvre. Nella Grande Galleria, il vecchio curatore Saunière, ferito a morte, si aggrappa con un ultimo gesto disperato a un dipinto del Caravaggio, fa scattare l'allarme e le grate di ferro all'entrata della sala immediatamente scendono, chiudendo fuori il suo inseguitore. L'assassino, rabbioso, non ha ottenuto quello che voleva. A Saunière restano pochi minuti di vita. Si toglie i vestiti e, disteso sul pavimento, si dispone come l'uomo di Vitruvio, il celeberrimo disegno di Leonardo da Vinci. La scena che si presenta agli occhi dei primi soccorritori è agghiacciante: il vecchio disteso sul marmo è riuscito, prima di morire, a scrivere alcuni numeri, poche parole e soltanto un nome: Robert Langdon.;{Fiction};523;4.5;it;http://books.google.com/books/content?id=cXCxGzF9ghMC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
49;0uM9rgEACAAJ;https://www.googleapis.com/books/v1/volumes/0uM9rgEACAAJ;http://books.google.com/books?id=0uM9rgEACAAJ&dq=Dan+Brown&hl=&cd=14&source=gbs_api;The Lost Symbol;28;Dan Brown;Doubleday Books;2010-11;The discovery of a mysterious object in the U.S. Capitol building and a subsequent kidnapping lead Harvard symbologist Robert Langdon into a web of mysterious codes, secret locations, and hidden knowledge.;{Fiction};513;3.5;en;http://books.google.com/books/content?id=0uM9rgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
